Intel® Product Specification Comparison
12/23/2024 01:45:32 PM
 ,Intel® Core™ i9-12900TE Processor ,Intel® Core™ i9-12900E Processor ,Intel® Core™ i9-12900H Processor ,Intel® Core™ i9-12900HK Processor ,Intel® Core™ i7-12700TE Processor ,Intel® Core™ i7-1270PE Processor ,Intel® Core™ i7-12700E Processor ,Intel® Core™ i5-1240P Processor ,Intel® Core™ i5-12450H Processor ,Intel® Core™ i3-12100F Processor ,Intel® Core™ i3-12100TE Processor ,Intel® Core™ i3-12100E Processor ,Intel® Core™ i3-12300HE Processor ,Intel® Core™ i7-12700H Processor ,Intel® Core™ i3-12100 Processor ,Intel® Core™ i5-12400 Processor ,Intel® Core™ i5-12400F Processor ,Intel® Core™ i5-12600K Processor ,Intel® Core™ i5-12600KF Processor ,Intel® Core™ i7-12700 Processor ,Intel® Core™ i7-12700F Processor ,Intel® Core™ i7-12700K Processor ,Intel® Core™ i7-12700KF Processor ,Intel® Core™ i7-12700T Processor ,Intel® Core™ i9-12900 Processor ,Intel® Core™ i9-12900F Processor ,Intel® Core™ i9-12900K Processor ,Intel® Core™ i9-12900KF Processor ,Intel® Core™ i9-12900T Processor ,Intel® Core™ i3-12300HL Processor ,Intel® Core™ i5-12400T Processor ,Intel® Core™ i3-12300 Processor ,Intel® Core™ i3-12300T Processor ,Intel® Core™ i3-12100T Processor ,Intel® Core™ i9-12900KS Processor ,Intel® Core™ i7-12800HE Processor ,Intel® Core™ i7-12800HX Processor ,Intel® Core™ i7-12800H Processor ,Intel® Core™ i7-12650H Processor ,Intel® Core™ i7-1280P Processor ,Intel® Core™ i7-1260P Processor ,Intel® Core™ i7-1270P Processor ,Intel® Core™ i5-1250P Processor ,Intel® Core™ i3-1220P Processor ,Intel® Core™ i7-1265U Processor ,Intel® Core™ i7-1255U Processor ,Intel® Core™ i5-1245U Processor ,Intel® Core™ i5-1235U Processor ,Intel® Core™ i3-1215U Processor ,Intel® Core™ i5-1235U Processor ,Intel® Core™ i3-1215U Processor ,Intel® Core™ i3-1210U Processor ,Intel® Core™ i5-1240U Processor ,Intel® Core™ i5-1230U Processor ,Intel® Core™ i7-1250U Processor ,Intel® Core™ i7-1260U Processor ,Intel® Core™ i5-1250PE Processor ,Intel® Core™ i3-1215UE Processor ,Intel® Core™ i3-1220PE Processor ,Intel® Core™ i7-1265UE Processor ,Intel® Core™ i5-1245UE Processor ,Intel® Core™ i5-12600HX Processor ,Intel® Core™ i9-12950HX Processor ,Intel® Core™ i9-12900HX Processor ,Intel® Core™ i7-12850HX Processor ,Intel® Core™ i7-12700HL Processor ,Intel® Core™ i5-12450HX Processor ,Intel® Core™ i7-12650HX Processor ,Intel® Core™ i7-12800HL Processor ,Intel® Core™ i5-12600HL Processor ,Intel® Core™ i5-12500HL Processor ,Intel® Core™ i5-1245UL Processor ,Intel® Core™ i5-1235UL Processor ,Intel® Core™ i3-1215UL Processor ,Intel® Core™ i7-1255UL Processor ,Intel® Core™ i7-1265UL Processor ,Intel® Core™ i5-12500T Processor ,Intel® Core™ i5-12500H Processor ,Intel® Core™ i5-12500TE Processor ,Intel® Core™ i5-12500E Processor ,Intel® Core™ i5-12500 Processor ,Intel® Core™ i5-12600 Processor ,Intel® Core™ i5-12600T Processor ,Intel® Core™ i5-12600H Processor ,Intel® Core™ i5-12600HE Processor 
# of Efficient-cores,8,8,8,8,4,8,4,8,4,0,0,0,4,8,0,0,0,4,4,4,4,4,4,4,8,8,8,8,8,4,0,0,0,0,8,8,8,8,4,8,8,8,8,8,8,8,8,8,4,8,4,4,8,8,8,8,8,4,4,8,8,8,8,8,8,8,4,8,8,8,8,8,8,4,8,8,0,8,0,0,0,0,0,8,8
Total Threads,24,24,20,20,20,16,20,16,12,8,8,8,12,20,8,12,12,16,16,20,20,20,20,20,24,24,24,24,24,12,12,8,8,8,24,20,24,20,16,20,16,16,16,12,12,12,12,12,8,12,8,8,12,12,12,12,16,8,12,12,12,16,24,24,24,20,12,20,20,16,16,12,12,8,12,12,12,16,12,12,12,12,12,16,16
Max Turbo Frequency,4.80 GHz,5.00 GHz,5.00 GHz,5.00 GHz,4.60 GHz,,4.80 GHz,4.40 GHz,4.40 GHz,4.30 GHz,4.00 GHz,4.20 GHz,,4.70 GHz,4.30 GHz,4.40 GHz,4.40 GHz,4.90 GHz,4.90 GHz,4.90 GHz,4.90 GHz,5.00 GHz,5.00 GHz,4.70 GHz,5.10 GHz,5.10 GHz,5.20 GHz,5.20 GHz,4.90 GHz,4.40 GHz,4.20 GHz,4.40 GHz,4.20 GHz,4.10 GHz,5.50 GHz,,4.80 GHz,4.80 GHz,4.70 GHz,4.80 GHz,4.70 GHz,4.80 GHz,4.40 GHz,4.40 GHz,4.80 GHz,4.70 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.70 GHz,4.70 GHz,,,,,,4.60 GHz,5.00 GHz,5.00 GHz,4.80 GHz,4.70 GHz,4.40 GHz,4.70 GHz,4.80 GHz,4.50 GHz,4.50 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.70 GHz,4.80 GHz,4.40 GHz,4.50 GHz,4.30 GHz,4.50 GHz,4.60 GHz,4.80 GHz,4.60 GHz,4.50 GHz,
Intel® Turbo Boost Technology 2.0 Frequency‡,4.80 GHz,5.00 GHz,,,4.60 GHz,,4.80 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance-core Max Turbo Frequency,4.80 GHz,5.00 GHz,5.00 GHz,5.00 GHz,4.60 GHz,4.50 GHz,4.80 GHz,4.40 GHz,4.40 GHz,4.30 GHz,4.00 GHz,4.20 GHz,4.30 GHz,4.70 GHz,4.30 GHz,4.40 GHz,4.40 GHz,4.90 GHz,4.90 GHz,4.80 GHz,4.80 GHz,4.90 GHz,4.90 GHz,4.60 GHz,5.00 GHz,5.00 GHz,5.10 GHz,5.10 GHz,4.80 GHz,4.40 GHz,4.20 GHz,4.40 GHz,4.20 GHz,4.10 GHz,5.20 GHz,4.60 GHz,4.80 GHz,4.80 GHz,4.70 GHz,4.80 GHz,4.70 GHz,4.80 GHz,4.40 GHz,4.40 GHz,4.80 GHz,4.70 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.70 GHz,4.70 GHz,4.40 GHz,4.40 GHz,4.20 GHz,4.70 GHz,4.40 GHz,4.60 GHz,5.00 GHz,5.00 GHz,4.80 GHz,4.70 GHz,4.40 GHz,4.70 GHz,4.80 GHz,4.50 GHz,4.50 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.70 GHz,4.80 GHz,4.40 GHz,4.50 GHz,4.30 GHz,4.50 GHz,4.60 GHz,4.80 GHz,4.60 GHz,4.50 GHz,4.50 GHz
Efficient-core Max Turbo Frequency,3.60 GHz,3.80 GHz,3.80 GHz,3.80 GHz,3.40 GHz,3.30 GHz,3.60 GHz,3.30 GHz,3.30 GHz,,,,3.30 GHz,3.50 GHz,,,,3.60 GHz,3.60 GHz,3.60 GHz,3.60 GHz,3.80 GHz,3.80 GHz,3.40 GHz,3.80 GHz,3.80 GHz,3.90 GHz,3.90 GHz,3.60 GHz,3.30 GHz,,,,,4.00 GHz,3.50 GHz,3.40 GHz,3.70 GHz,3.50 GHz,3.60 GHz,3.40 GHz,3.50 GHz,3.30 GHz,3.30 GHz,3.60 GHz,3.50 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.50 GHz,3.50 GHz,3.20 GHz,3.30 GHz,3.10 GHz,3.50 GHz,3.30 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.40 GHz,3.50 GHz,3.10 GHz,3.30 GHz,3.70 GHz,3.30 GHz,3.30 GHz,2.50 GHz,2.50 GHz,2.50 GHz,2.60 GHz,2.70 GHz,,3.30 GHz,,,,,,3.30 GHz,3.30 GHz
Performance-core Base Frequency,1.10 GHz,2.30 GHz,,,1.40 GHz,,2.10 GHz,,,3.30 GHz,2.10 GHz,3.20 GHz,1.90 GHz,,3.30 GHz,2.50 GHz,2.50 GHz,3.70 GHz,3.70 GHz,2.10 GHz,2.10 GHz,3.60 GHz,3.60 GHz,1.40 GHz,2.40 GHz,2.40 GHz,3.20 GHz,3.20 GHz,1.40 GHz,,1.80 GHz,3.50 GHz,2.30 GHz,2.20 GHz,3.40 GHz,2.40 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 GHz,,1.90 GHz,2.90 GHz,3.00 GHz,3.30 GHz,2.10 GHz,,2.50 GHz
Efficient-core Base Frequency,1.00 GHz,1.70 GHz,,,1.00 GHz,,1.60 GHz,,,,,,,,,,,2.80 GHz,2.80 GHz,1.60 GHz,1.60 GHz,2.70 GHz,2.70 GHz,1.00 GHz,1.80 GHz,1.80 GHz,2.40 GHz,2.40 GHz,1.00 GHz,,,,,,2.50 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,25 MB Intel® Smart Cache,18 MB Intel® Smart Cache,25 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,25 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,10 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,25 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache
Total L2 Cache,14 MB,14 MB,,,12 MB,,12 MB,,,5 MB,5 MB,5 MB,,,5 MB,7.5 MB,7.5 MB,9.5 MB,9.5 MB,12 MB,12 MB,12 MB,12 MB,12 MB,14 MB,14 MB,14 MB,14 MB,14 MB,,7.5 MB,5 MB,5 MB,5 MB,14 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5 MB,,7.5 MB,7.5 MB,7.5 MB,7.5 MB,7.5 MB,,
