Intel® Product Specification Comparison
12/23/2024 01:44:19 PM
 ,Intel® Core™ i7-13700KF Processor ,Intel® Core™ i7-13700 Processor ,Intel® Core™ i7-13700F Processor ,Intel® Core™ i7-13700T Processor ,Intel® Core™ i5-13600K Processor ,Intel® Core™ i5-13600KF Processor ,Intel® Core™ i5-13400 Processor ,Intel® Core™ i9-13900K Processor ,Intel® Core™ i9-13900KF Processor ,Intel® Core™ i9-13900T Processor ,Intel® Core™ i9-13900 Processor ,Intel® Core™ i7-13700K Processor ,Intel® Core™ i5-13400F Processor ,Intel® Core™ i9-13900F Processor ,Intel® Core™ i5-13600T Processor ,Intel® Core™ i5-13600 Processor ,Intel® Core™ i3-13100 Processor ,Intel® Core™ i3-13100F Processor ,Intel® Core™ i5-13400T Processor ,Intel® Core™ i5-13500T Processor ,Intel® Core™ i3-13100T Processor ,Intel® Core™ i5-13500 Processor ,Intel® Core™ i9-13900E Processor ,Intel® Core™ i7-13650HX Processor ,Intel® Core™ i5-1350P Processor ,Intel® Core™ i3-13100TE Processor ,Intel® Core™ i5-13505H Processor ,Intel® Core™ i5-13500TE Processor ,Intel® Core™ i5-1340P Processor ,Intel® Core™ i5-1345U Processor ,Intel® Core™ i7-13700H Processor ,Intel® Core™ i7-13620H Processor ,Intel® Core™ i7-13700TE Processor ,Intel® Core™ i5-13450HX Processor ,Intel® Core™ i5-1350PE Processor ,Intel® Core™ i5-13500E Processor ,Intel® Core™ i9-13900H Processor ,Intel® Core™ i3-1315U Processor ,Intel® Core™ i9-13980HX Processor ,Intel® Core™ i7-13705H Processor ,Intel® Core™ i7-1365U Processor ,Intel® Core™ i5-1334U Processor ,Intel® Core™ i9-13900HK Processor ,Intel® Core™ i5-13600H Processor ,Intel® Core™ i7-1370P Processor ,Intel® Core™ i5-13500H Processor ,Intel® Core™ i5-13400E Processor ,Intel® Core™ i9-13950HX Processor ,Intel® Core™ i7-13800HE Processor ,Intel® Core™ i3-13300HE Processor ,Intel® Core™ i5-13600HE Processor ,Intel® Core™ i5-1335U Processor ,Intel® Core™ i5-13600HX Processor ,Intel® Core™ i7-1360P Processor ,Intel® Core™ i5-13500HX Processor ,Intel® Core™ i5-1340PE Processor ,Intel® Core™ i7-1355U Processor ,Intel® Core™ i7-13850HX Processor ,Intel® Core™ i9-13900TE Processor ,Intel® Core™ i3-13100E Processor ,Intel® Core™ i7-13800H Processor ,Intel® Core™ i7-13700HX Processor ,Intel® Core™ i9-13900KS Processor ,Intel® Core™ i7-13700E Processor ,Intel® Core™ i3-1320PE Processor ,Intel® Core™ i9-13900HX Processor ,Intel® Core™ i9-13905H Processor ,Intel® Core™ i5-13420H Processor ,Intel® Core™ i7-1370PE Processor ,Intel® Core™ i3-1305U Processor ,Intel® Core™ i5-1335UE Processor ,Intel® Core™ i7-1365UE Processor ,Intel® Core™ i3-1315UE Processor ,Intel® Core™ i5-1345UE Processor ,Intel® Core™ i5-13500H Processor ,Intel® Core™ i3-1315U Processor ,Intel® Core™ i7-1375PRE Processor ,Intel® Core™ i5-13600HRE Processor ,Intel® Core™ i3-1320PRE Processor ,Intel® Core™ i7-1370PRE Processor ,Intel® Core™ i3-13300HRE Processor ,Intel® Core™ i7-13800HRE Processor ,Intel® Core™ i5-1350PRE Processor ,Intel® Core™ i7-1366URE Processor ,Intel® Core™ i7-1365URE Processor ,Intel® Core™ i5-1345URE Processor ,Intel® Core™ i3-1315URE Processor 
# of Efficient-cores,8,8,8,8,8,8,4,16,16,16,16,8,4,16,8,8,0,0,4,8,0,8,16,8,8,0,8,8,8,8,8,4,8,4,8,8,8,4,16,8,8,8,8,8,8,8,4,16,8,4,8,8,8,8,8,8,8,12,16,0,8,8,16,8,4,16,8,4,8,4,8,8,4,8,8,4,8,8,4,8,4,8,8,8,8,8,4
Total Threads,24,24,24,24,20,20,16,32,32,32,32,24,16,32,20,20,8,8,16,20,8,20,32,20,16,8,16,20,16,12,20,16,24,16,16,20,20,8,32,20,12,12,20,16,20,16,16,32,20,12,16,12,20,16,20,16,12,28,32,8,20,24,32,24,12,32,20,12,20,6,12,12,8,12,16,8,20,16,12,20,12,20,16,12,12,12,8
Max Turbo Frequency,5.40 GHz,5.20 GHz,5.20 GHz,4.90 GHz,5.1 GHz,5.1 GHz,4.60 GHz,5.80 GHz,5.8 GHz,5.30 GHz,5.60 GHz,5.40 GHz,4.60 GHz,5.60 GHz,4.8 GHz,5 GHz,4.50 GHz,4.50 GHz,4.40 GHz,4.60 GHz,4.20 GHz,4.80 GHz,5.20 GHz,4.90 GHz,4.70 GHz,4.10 GHz,4.70 GHz,4.50 GHz,4.60 GHz,4.7 GHz,5 GHz,4.90 GHz,4.80 GHz,4.60 GHz,4.60 GHz,4.60 GHz,5.40 GHz,4.5 GHz,5.60 GHz,5.00 GHz,5.2 GHz,4.60 GHz,5.40 GHz,4.8 GHz,5.20 GHz,4.7 GHz,4.60 GHz,5.50 GHz,5.00 GHz,4.6 GHz,4.80 GHz,4.6 GHz,4.80 GHz,5.00 GHz,4.70 GHz,4.50 GHz,5 GHz,5.30 GHz,5.00 GHz,4.40 GHz,5.2 GHz,5.00 GHz,6.00 GHz,5.10 GHz,4.50 GHz,5.40 GHz,5.40 GHz,4.60 GHz,4.80 GHz,4.50 GHz,4.50 GHz,4.90 GHz,4.50 GHz,4.60 GHz,4.70 GHz,4.50 GHz,4.8 GHz,4.80 GHz,4.50 GHz,4.80 GHz,4.60 GHz,5.00 GHz,4.60 GHz,4.9 GHz,4.90 GHz,4.60 GHz,4.50 GHz
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,5.40 GHz,5.20 GHz,5.20 GHz,4.90 GHz,,,,5.70 GHz,5.70 GHz,5.30 GHz,5.50 GHz,5.40 GHz,,5.50 GHz,,,,,,,,,,4.90 GHz,,,,,,,5 GHz,4.90 GHz,,,,,5.40 GHz,,5.50 GHz,5.00 GHz,,,5.40 GHz,,5.20 GHz,,,5.50 GHz,,,,,,,,,,5.30 GHz,,,5.2 GHz,5.00 GHz,5.80 GHz,,,5.40 GHz,5.40 GHz,,,,,,,,,,,,,,,,,,,,
Performance-core Max Turbo Frequency,5.30 GHz,5.10 GHz,5.10 GHz,4.80 GHz,5.10 GHz,5.10 GHz,4.60 GHz,5.40 GHz,5.40 GHz,5.10 GHz,5.20 GHz,5.30 GHz,4.60 GHz,5.20 GHz,4.80 GHz,5.00 GHz,4.50 GHz,4.50 GHz,4.40 GHz,4.60 GHz,4.20 GHz,4.80 GHz,5.20 GHz,4.90 GHz,4.70 GHz,4.10 GHz,4.70 GHz,4.50 GHz,4.60 GHz,4.7 GHz,5 GHz,4.90 GHz,4.80 GHz,4.60 GHz,4.60 GHz,4.60 GHz,5.40 GHz,4.5 GHz,5.60 GHz,5.00 GHz,5.2 GHz,4.60 GHz,5.40 GHz,4.8 GHz,5.20 GHz,4.7 GHz,4.60 GHz,5.50 GHz,5.00 GHz,4.6 GHz,4.80 GHz,4.6 GHz,4.80 GHz,5.00 GHz,4.70 GHz,4.50 GHz,5 GHz,5.30 GHz,5.00 GHz,4.40 GHz,5.2 GHz,5.00 GHz,5.40 GHz,5.10 GHz,4.50 GHz,5.40 GHz,5.40 GHz,4.60 GHz,4.80 GHz,4.50 GHz,4.50 GHz,4.90 GHz,4.50 GHz,4.60 GHz,4.70 GHz,4.50 GHz,4.8 GHz,4.80 GHz,4.50 GHz,4.80 GHz,4.60 GHz,5.00 GHz,4.60 GHz,4.9 GHz,4.90 GHz,4.60 GHz,4.50 GHz
Efficient-core Max Turbo Frequency,4.20 GHz,4.10 GHz,4.10 GHz,3.60 GHz,3.90 GHz,3.90 GHz,3.30 GHz,4.30 GHz,4.30 GHz,3.90 GHz,4.20 GHz,4.20 GHz,3.30 GHz,4.20 GHz,3.40 GHz,3.70 GHz,,,3.00 GHz,3.20 GHz,,3.50 GHz,4.00 GHz,3.60 GHz,3.50 GHz,,3.50 GHz,3.10 GHz,3.40 GHz,3.5 GHz,3.7 GHz,3.60 GHz,3.60 GHz,3.40 GHz,3.40 GHz,3.30 GHz,4.10 GHz,3.3 GHz,4.00 GHz,3.70 GHz,3.9 GHz,3.40 GHz,4.10 GHz,3.6 GHz,3.90 GHz,3.5 GHz,3.30 GHz,4.00 GHz,4.00 GHz,3.4 GHz,3.60 GHz,3.4 GHz,3.60 GHz,3.70 GHz,3.50 GHz,3.30 GHz,3.7 GHz,3.80 GHz,3.90 GHz,,4 GHz,3.70 GHz,4.30 GHz,3.90 GHz,3.30 GHz,3.90 GHz,4.10 GHz,3.40 GHz,3.70 GHz,3.30 GHz,3.30 GHz,3.70 GHz,3.30 GHz,3.40 GHz,3.50 GHz,3.30 GHz,3.7 GHz,3.60 GHz,3.30 GHz,3.70 GHz,3.40 GHz,4.00 GHz,3.40 GHz,3.7 GHz,3.70 GHz,3.40 GHz,3.30 GHz
Performance-core Base Frequency,3.40 GHz,2.10 GHz,2.10 GHz,1.40 GHz,3.50 GHz,3.50 GHz,2.50 GHz,3.00 GHz,3.00 GHz,1.10 GHz,2.00 GHz,3.40 GHz,2.50 GHz,2.00 GHz,1.80 GHz,2.70 GHz,3.40 GHz,3.40 GHz,1.30 GHz,1.60 GHz,2.50 GHz,2.50 GHz,1.80 GHz,,,2.40 GHz,,1.30 GHz,,,,,1.10 GHz,,,2.40 GHz,,,,,,,,,,,2.40 GHz,,,,,,,,,,,,1.00 GHz,3.30 GHz,,,3.20 GHz,1.90 GHz,,,,,,,,,,,,,,,,,,,,,,,
Efficient-core Base Frequency,2.50 GHz,1.50 GHz,1.50 GHz,1.00 GHz,2.60 GHz,2.60 GHz,1.80 GHz,2.20 GHz,2.20 GHz,800 MHz,1.50 GHz,2.50 GHz,1.80 GHz,1.50 GHz,1.30 GHz,2.00 GHz,,,1.00 GHz,1.20 GHz,,1.80 GHz,1.30 GHz,,,,,1.10 GHz,,,,,800 MHz,,,1.50 GHz,,,,,,,,,,,1.50 GHz,,,,,,,,,,,,800 MHz,,,,2.40 GHz,1.30 GHz,,,,,,,,,,,,,,,,,,,,,,,
Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,20 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,20 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,20 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,10 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,20 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,30 MB Intel® Smart Cache,36 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,10 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,10 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache
Total L2 Cache,24 MB,24 MB,24 MB,24 MB,20 MB,20 MB,9.5 MB,32 MB,32 MB,32 MB,32 MB,24 MB,9.5 MB,32 MB,11.5 MB,11.5 MB,5 MB,5 MB,9.5 MB,11.5 MB,5 MB,11.5 MB,32 MB,,,5 MB,,11.5 MB,,,,,24 MB,,,11.5 MB,,,,,,,,,,,9.5 MB,,,,,,,,,,,,32 MB,5 MB,,,32 MB,24 MB,,,,,,,,,,,,,,,,,,,,,,,
